i_config,souris,Idx_souris,n_pixels,lissage_sigma,use_dff,use_global_regression,nRunTrain,n_regions,min_region_size,median_region_size,max_region_size,pVar_final,chi2_final,pVar_max,chi2_min,runtime_sec,status,error
87,M396-6,1,100,1,True,True,100,367,43,99.0,148,0.40531099792576497,2.8532142485122236,0.40531099792576497,2.8532142485122236,79.7222547531128,failed,[Errno 28] No space left on device
88,M396-6,1,100,2,False,False,100,367,43,99.0,148,0.4294810847657182,4.365725181275679,0.4294810847657182,4.365725181275679,79.29295992851257,failed,[Errno 28] No space left on device: 'night_run_models/M396-6_npix-100_sigma-2_dff-False_greg-False_nrun-100.pkl'
89,M396-6,1,100,2,False,True,100,367,43,99.0,148,0.5004427902144806,4.0770707016992835,0.5033680316921771,4.0598867272698165,78.42751216888428,failed,[Errno 28] No space left on device: 'night_run_models/M396-6_npix-100_sigma-2_dff-False_greg-True_nrun-100.pkl'
90,M396-6,1,100,2,True,False,100,367,43,99.0,148,0.41221736060808467,3.601390923910814,0.4143247904933012,3.573004321686755,78.9380133152008,failed,[Errno 28] No space left on device
91,M396-6,1,100,2,True,True,100,367,43,99.0,148,0.49372060707419363,2.435849292437414,0.49372060707419363,2.435849292437414,79.28551912307739,failed,[Errno 28] No space left on device: 'night_run_models/M396-6_npix-100_sigma-2_dff-True_greg-True_nrun-100.pkl'
92,M396-6,1,100,3,False,False,100,367,43,99.0,148,0.6267525777690437,3.1887505374076803,0.6267525777690437,3.1887505374076803,78.5966489315033,failed,[Errno 28] No space left on device: 'night_run_models/M396-6_npix-100_sigma-3_dff-False_greg-False_nrun-100.pkl'
93,M396-6,1,100,3,False,True,100,367,43,99.0,148,0.6097882766231564,3.0563669668897866,0.6097882766231564,3.0542571631406847,78.68509912490845,failed,[Errno 28] No space left on device: 'night_run_models/M396-6_npix-100_sigma-3_dff-False_greg-True_nrun-100.pkl'
94,M396-6,1,100,3,True,False,100,367,43,99.0,148,0.5859086558070534,2.577099706988535,0.5859086558070534,2.577099706988535,78.9576461315155,failed,[Errno 28] No space left on device: 'night_run_models/M396-6_npix-100_sigma-3_dff-True_greg-False_nrun-100.pkl'
95,M396-6,1,100,3,True,True,100,367,43,99.0,148,0.5757837920124689,2.0589090807602277,0.5757837920124689,2.0589090807602277,79.04392313957214,success,
96,M396-6,1,200,0,False,False,100,185,44,197.0,254,0.04237379119367246,8.902617300626659,0.11180404909467212,8.554370604164946,25.7094247341156,success,
97,M396-6,1,200,0,False,True,100,185,44,197.0,254,0.17288625080757614,5.326257795615197,0.17288625080757614,5.326257795615197,25.443087100982666,success,
98,M396-6,1,200,0,True,False,100,185,44,197.0,254,0.025737001157717376,9.298959839937742,0.06485911070226136,9.028363406177615,25.544779062271118,success,
99,M396-6,1,200,0,True,True,100,185,44,197.0,254,0.19022764826698413,5.0561699075042785,0.19022764826698413,5.0561699075042785,25.472451210021973,success,
100,M396-6,1,200,1,False,False,100,185,44,197.0,254,0.16341880326661018,7.629089029704967,0.16341880326661018,7.629089029704967,25.23390483856201,success,
101,M396-6,1,200,1,False,True,100,185,44,197.0,254,0.21435667151687665,7.244324304237716,0.21435667151687665,7.244324304237716,25.244493007659912,success,
102,M396-6,1,200,1,True,False,100,185,44,197.0,254,-0.012830609414016036,10.483392478641058,0.039113580316235685,9.949651672045922,25.70785903930664,success,
103,M396-6,1,200,1,True,True,100,185,44,197.0,254,0.2602345863597082,5.804623344165358,0.2602345863597082,5.804623344165358,25.71915912628174,success,
104,M396-6,1,200,2,False,False,100,185,44,197.0,254,0.2859357548014596,6.988455345318429,0.28703174937273024,6.988455345318429,25.18370032310486,success,
105,M396-6,1,200,2,False,True,100,185,44,197.0,254,0.30578361975249513,6.899062051322848,0.30578361975249513,6.899062051322848,25.727971076965332,success,
106,M396-6,1,200,2,True,False,100,185,44,197.0,254,0.03303386900900995,10.767832345379205,0.044872550107010634,10.69548111332999,42.87784719467163,success,
107,M396-6,1,200,2,True,True,100,185,44,197.0,254,0.2758561362691767,6.55824449100814,0.2758561362691767,6.55824449100814,43.278615951538086,success,
108,M396-6,1,200,3,False,False,100,185,44,197.0,254,0.37604111324464295,6.821886285262545,0.37718704429844296,6.821886285262545,43.053247928619385,success,
109,M396-6,1,200,3,False,True,100,185,44,197.0,254,0.3257961759766713,6.448256748266857,0.3257961759766713,6.448256748266857,42.97330689430237,success,
110,M396-6,1,200,3,True,False,100,185,44,197.0,254,0.2452891307569539,9.5360221134981,0.2452891307569539,9.5360221134981,44.35565495491028,success,
111,M396-6,1,200,3,True,True,100,185,44,197.0,254,0.3636899977057584,5.821855153582371,0.3636899977057584,5.821855153582371,46.61743879318237,success,
112,M396-6,1,500,0,False,False,100,77,299,473.0,617,-0.024682919186271413,10.841977531322215,0.006314678971645726,10.717401804365503,15.857817888259888,success,
113,M396-6,1,500,0,False,True,100,77,299,473.0,617,0.07608278627362797,7.566237974157805,0.07608278627362797,7.566237974157805,15.798624992370605,success,
114,M396-6,1,500,0,True,False,100,77,299,473.0,617,-0.42335887435833675,16.45944308807472,-0.09286749510252146,12.861119935149615,16.896873950958252,success,
115,M396-6,1,500,0,True,True,100,77,299,473.0,617,0.09564461997939977,7.435181707306372,0.097214128376655,7.428740098417902,15.687832832336426,success,
116,M396-6,1,500,1,False,False,100,77,299,473.0,617,0.08328943941959122,9.599622070495926,0.09010852589538765,9.524763813654152,15.458025217056274,success,
117,M396-6,1,500,1,False,True,100,77,299,473.0,617,0.09476508634167091,10.49976230516877,0.09476508634167091,10.49976230516877,15.416015148162842,success,
118,M396-6,1,500,1,True,False,100,77,299,473.0,617,-0.2849537683221286,15.248115767774216,-0.22533619657084292,14.779510421979962,14.851012229919434,success,
119,M396-6,1,500,1,True,True,100,77,299,473.0,617,0.08844101031546647,8.702069042626894,0.08966048941476834,8.692924158137831,14.98154091835022,success,
120,M396-6,1,500,2,False,False,100,77,299,473.0,617,0.03550856415727255,10.673984349044042,0.07370399125207416,10.356507435888727,14.35147213935852,success,
121,M396-6,1,500,2,False,True,100,77,299,473.0,617,0.12014418343002953,12.03837342604414,0.12014418343002953,12.03837342604414,14.71675181388855,success,
122,M396-6,1,500,2,True,False,100,77,299,473.0,617,-0.10103820359265181,13.801911769284487,-0.009152404695548677,12.796772907208155,14.9099440574646,success,
123,M396-6,1,500,2,True,True,100,77,299,473.0,617,0.13583075791551869,8.644776888614256,0.13583075791551869,8.644776888614256,15.245326042175293,success,
124,M396-6,1,500,3,False,False,100,77,299,473.0,617,0.14701273318956865,10.46843638985516,0.14701273318956865,10.46843638985516,15.565755844116211,success,
125,M396-6,1,500,3,False,True,100,77,299,473.0,617,0.16473003257171193,11.332710462637921,0.17041773515398784,11.22786328850363,17.99072003364563,success,
126,M396-6,1,500,3,True,False,100,77,299,473.0,617,-0.14368330731667878,17.578458283210228,-0.020426003506798462,15.7209799938394,17.11336874961853,success,
127,M396-6,1,500,3,True,True,100,77,299,473.0,617,0.15041586300375764,11.204046799644074,0.15616205841601527,11.163264551834736,16.114476919174194,success,
128,M410-6,2,50,0,False,False,100,760,14,50.0,84,0.5146044553217348,1.5707153755914667,0.5146044553217348,1.5707153755914667,563.8000428676605,success,
129,M410-6,2,50,0,False,True,100,760,14,50.0,84,0.44306722679221844,2.141692318892163,0.44306722679221844,2.141692318892163,581.2511396408081,success,
130,M410-6,2,50,0,True,False,100,760,14,50.0,84,0.4267467637926864,1.909193388494158,0.4267467637926864,1.909193388494158,553.4862389564514,success,
131,M410-6,2,50,0,True,True,100,760,14,50.0,84,0.47712327358613704,1.856990167340006,0.47712327358613704,1.856990167340006,579.2700941562653,success,
132,M410-6,2,50,1,False,False,100,760,14,50.0,84,0.5769653499647651,1.6606371981504127,0.5769653499647651,1.6606371981504127,556.659569978714,success,
133,M410-6,2,50,1,False,True,100,760,14,50.0,84,0.599683600714831,1.6508683874800965,0.599683600714831,1.6508683874800965,603.2368700504303,success,
134,M410-6,2,50,1,True,False,100,760,14,50.0,84,0.5773509370972678,1.3431409074467997,0.5773509370972678,1.3431409074467997,620.8225991725922,success,
135,M410-6,2,50,1,True,True,100,760,14,50.0,84,0.5796176004683297,1.4209191509359982,0.5796176004683297,1.4209191509359982,563.5877060890198,success,
136,M410-6,2,50,2,False,False,100,760,14,50.0,84,0.7577109263716082,1.0332447690248054,0.7577109263716082,1.0332447690248054,555.4065170288086,success,
137,M410-6,2,50,2,False,True,100,760,14,50.0,84,0.7571414299023806,1.1421483186691104,0.7571414299023806,1.1421483186691104,555.7164919376373,success,
138,M410-6,2,50,2,True,False,100,760,14,50.0,84,0.7581808535140409,0.7593944155296722,0.7581808535140409,0.7593944155296722,564.0609848499298,success,
